89 0 0 0
98 0 0 0
74 0 0 0
75 0 0 0
77 0 0 0
78 0 0 0
83 0 0 0
84 0 0 0
86 0 0 0
90 0 0 0
93 0 0 0
96 0 0 0
73 0 0 0
81 0 0 0
87 0 0 0
94 0 0 0
1 0 0 0
7 0 0 0
101 0 0 0
103 0 0 0
107 0 0 0
2 0 0 0
92 0 0 0
95 0 0 0
99 0 0 0
102 0 0 0
104 0 0 0
106 0 0 0
91 0 0 0
97 0 0 0
100 0 0 0
105 0 0 0
108 0 0 0
